pgmigrate_success 209113
pgmigrate_fail 41362
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 5322592
pgmigrate_fail_numa_isolate_fail 5322622
pgmigrate_fail_nomem_fail 52
pgmigrate_fail_refcount_fail 9956
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       547831404 kB
MemFree:        527322028 kB
MemAvailable:   526344296 kB
Buffers:           67144 kB
Cached:           262892 kB
SwapCached:        81432 kB
Active:           126764 kB
Inactive:         568952 kB
Active(anon):      11160 kB
Inactive(anon):   359168 kB
Active(file):     115604 kB
Inactive(file):   209784 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        1780220 kB
Dirty:               248 kB
Writeback:             0 kB
AnonPages:        347860 kB
Mapped:           202100 kB
Shmem:              4712 kB
KReclaimable:     221336 kB
Slab:             609080 kB
SReclaimable:     221336 kB
SUnreclaim:       387744 kB
KernelStack:       31376 kB
PageTables:        30176 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    276012848 kB
Committed_AS:    6468016 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      136988 kB
VmallocChunk:          0 kB
Percpu:           147840 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      691688 kB
DirectMap2M:    10278912 kB
DirectMap1G:    1180696576 kB
