pgmigrate_success 76780
pgmigrate_fail 3444
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 0
pgmigrate_fail_numa_isolate_fail 23
pgmigrate_fail_nomem_fail 19
pgmigrate_fail_refcount_fail 60
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       548719204 kB
MemFree:        528744384 kB
MemAvailable:   527761896 kB
Buffers:            5208 kB
Cached:           373524 kB
SwapCached:            0 kB
Active:            88028 kB
Inactive:         865592 kB
Active(anon):        716 kB
Inactive(anon):   580364 kB
Active(file):      87312 kB
Inactive(file):   285228 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                12 kB
Writeback:             0 kB
AnonPages:        574976 kB
Mapped:           369752 kB
Shmem:              6200 kB
KReclaimable:     175156 kB
Slab:             552848 kB
SReclaimable:     175156 kB
SUnreclaim:       377692 kB
KernelStack:       33152 kB
PageTables:        29880 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    276456748 kB
Committed_AS:    6454208 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      138516 kB
VmallocChunk:          0 kB
Percpu:           146944 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      539112 kB
DirectMap2M:     7604224 kB
DirectMap1G:    1134559232 kB
