pgmigrate_success 21640369
pgmigrate_fail 100013
thp_fault_alloc 1
thp_fault_fallback 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 1
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       1085816024 kB
MemFree:        1065446680 kB
MemAvailable:   1063258472 kB
Buffers:            5912 kB
Cached:           395244 kB
SwapCached:           12 kB
Active:           135696 kB
Inactive:         526948 kB
Active(anon):      99876 kB
Inactive(anon):   526948 kB
Active(file):      35820 kB
Inactive(file):        0 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2095868 kB
Dirty:                84 kB
Writeback:             0 kB
AnonPages:        620172 kB
Mapped:           391312 kB
Shmem:              6208 kB
KReclaimable:     284148 kB
Slab:             740052 kB
SReclaimable:     284148 kB
SUnreclaim:       455904 kB
KernelStack:       32080 kB
PageTables:        28628 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    545005160 kB
Committed_AS:    6267976 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      109724 kB
VmallocChunk:          0 kB
Percpu:           117824 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     1017320 kB
DirectMap2M:     7856128 kB
DirectMap1G:    1180696576 kB
