pgmigrate_success 11465395
pgmigrate_fail 357750
thp_fault_alloc 0
thp_fault_fallback 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       607251644 kB
MemFree:        587609176 kB
MemAvailable:   586427468 kB
Buffers:           61060 kB
Cached:           573404 kB
SwapCached:            4 kB
Active:            99436 kB
Inactive:         919988 kB
Active(anon):      44536 kB
Inactive(anon):   535016 kB
Active(file):      54900 kB
Inactive(file):   384972 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2096892 kB
Dirty:            140548 kB
Writeback:             0 kB
AnonPages:        574316 kB
Mapped:           386468 kB
Shmem:              6160 kB
KReclaimable:     271832 kB
Slab:             640360 kB
SReclaimable:     271832 kB
SUnreclaim:       368528 kB
KernelStack:       31872 kB
PageTables:        28056 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    305722968 kB
Committed_AS:    6549036 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      159360 kB
VmallocChunk:          0 kB
Percpu:           117824 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     1052136 kB
DirectMap2M:     6772736 kB
DirectMap1G:    1183842304 kB
