pgmigrate_success 521
pgmigrate_fail 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       607251644 kB
MemFree:        587791428 kB
MemAvailable:   586581716 kB
Buffers:            7508 kB
Cached:           389768 kB
SwapCached:            0 kB
Active:           632736 kB
Inactive:         331848 kB
Active(anon):     567764 kB
Inactive(anon):     6156 kB
Active(file):      64972 kB
Inactive(file):   325692 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:               188 kB
Writeback:             0 kB
AnonPages:        567824 kB
Mapped:           385992 kB
Shmem:              6160 kB
KReclaimable:     265032 kB
Slab:             631464 kB
SReclaimable:     265032 kB
SUnreclaim:       366432 kB
KernelStack:       31408 kB
PageTables:        27224 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    305722968 kB
Committed_AS:    6425936 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      159312 kB
VmallocChunk:          0 kB
Percpu:           117824 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     1052136 kB
DirectMap2M:     6772736 kB
DirectMap1G:    1183842304 kB
