pgmigrate_success 2316374
pgmigrate_fail 10080
thp_fault_alloc 0
thp_fault_fallback 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       1153248428 kB
MemFree:        1132642868 kB
MemAvailable:   1131135968 kB
Buffers:           58564 kB
Cached:          1802704 kB
SwapCached:            8 kB
Active:            84608 kB
Inactive:        2270832 kB
Active(anon):      61544 kB
Inactive(anon):   538076 kB
Active(file):      23064 kB
Inactive(file):  1732756 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2096636 kB
Dirty:               192 kB
Writeback:            36 kB
AnonPages:        593128 kB
Mapped:           377852 kB
Shmem:              6112 kB
KReclaimable:     263680 kB
Slab:             664200 kB
SReclaimable:     263680 kB
SUnreclaim:       400520 kB
KernelStack:       31456 kB
PageTables:        27928 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    578721360 kB
Committed_AS:    6340832 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      158492 kB
VmallocChunk:          0 kB
Percpu:           114240 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     1050088 kB
DirectMap2M:     7823360 kB
DirectMap1G:    1180696576 kB
