pgmigrate_success 6228055
pgmigrate_fail 229161
thp_fault_alloc 0
thp_fault_fallback 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       1164602532 kB
MemFree:        1145597000 kB
MemAvailable:   1143287224 kB
Buffers:            2356 kB
Cached:           504840 kB
SwapCached:            0 kB
Active:            84192 kB
Inactive:         832908 kB
Active(anon):      64672 kB
Inactive(anon):   535372 kB
Active(file):      19520 kB
Inactive(file):   297536 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:            120332 kB
Writeback:             0 kB
AnonPages:        595520 kB
Mapped:           380676 kB
Shmem:              6108 kB
KReclaimable:     230824 kB
Slab:             612116 kB
SReclaimable:     230824 kB
SUnreclaim:       381292 kB
KernelStack:       31472 kB
PageTables:        27952 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    584398412 kB
Committed_AS:    6428680 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      158380 kB
VmallocChunk:          0 kB
Percpu:           116032 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     1056232 kB
DirectMap2M:     7817216 kB
DirectMap1G:    1180696576 kB
