pgmigrate_success 5650288
pgmigrate_fail 99338
thp_fault_alloc 0
thp_fault_fallback 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       561495248 kB
MemFree:        550554956 kB
MemAvailable:   549406608 kB
Buffers:            5416 kB
Cached:           381944 kB
SwapCached:            4 kB
Active:           122520 kB
Inactive:        1030508 kB
Active(anon):      88416 kB
Inactive(anon):  1030508 kB
Active(file):      34104 kB
Inactive(file):        0 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2096892 kB
Dirty:                76 kB
Writeback:             0 kB
AnonPages:       1114268 kB
Mapped:           378884 kB
Shmem:              6200 kB
KReclaimable:     284452 kB
Slab:             694776 kB
SReclaimable:     284452 kB
SUnreclaim:       410324 kB
KernelStack:       31904 kB
PageTables:        35716 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    282844772 kB
Committed_AS:    6598176 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      156980 kB
VmallocChunk:          0 kB
Percpu:           118272 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     1103336 kB
DirectMap2M:     8474624 kB
DirectMap1G:    555745280 kB
