pgmigrate_success 5931685
pgmigrate_fail 1579565
thp_fault_alloc 0
thp_fault_fallback 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       551186640 kB
MemFree:        531286708 kB
MemAvailable:   530223708 kB
Buffers:           70900 kB
Cached:           457404 kB
SwapCached:           16 kB
Active:           121952 kB
Inactive:         559720 kB
Active(anon):      51640 kB
Inactive(anon):   559720 kB
Active(file):      70312 kB
Inactive(file):        0 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2096636 kB
Dirty:               176 kB
Writeback:             0 kB
AnonPages:        605880 kB
Mapped:           431560 kB
Shmem:              6204 kB
KReclaimable:     297368 kB
Slab:             712028 kB
SReclaimable:     297368 kB
SUnreclaim:       414660 kB
KernelStack:       36236 kB
PageTables:        29168 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    277690468 kB
Committed_AS:    6642496 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      103764 kB
VmallocChunk:          0 kB
Percpu:           117824 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     1013224 kB
DirectMap2M:     7860224 kB
DirectMap1G:    1182793728 kB
