pgmigrate_success 2611
pgmigrate_fail 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       1088638160 kB
MemFree:        1068446776 kB
MemAvailable:   1066424508 kB
Buffers:            8628 kB
Cached:           409048 kB
SwapCached:            0 kB
Active:           651968 kB
Inactive:         350612 kB
Active(anon):     584624 kB
Inactive(anon):     5860 kB
Active(file):      67344 kB
Inactive(file):   344752 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                68 kB
Writeback:             0 kB
AnonPages:        583676 kB
Mapped:           404704 kB
Shmem:              6204 kB
KReclaimable:     273104 kB
Slab:             650648 kB
SReclaimable:     273104 kB
SUnreclaim:       377544 kB
KernelStack:       31692 kB
PageTables:        28088 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    546416228 kB
Committed_AS:    6461672 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      156744 kB
VmallocChunk:          0 kB
Percpu:           118720 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      910824 kB
DirectMap2M:     9011200 kB
DirectMap1G:    1179648000 kB
