pgmigrate_success 4819
pgmigrate_fail 9643
thp_fault_alloc 0
thp_fault_fallback 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       553353424 kB
MemFree:        533682924 kB
MemAvailable:   532804564 kB
Buffers:            5616 kB
Cached:           390976 kB
SwapCached:            0 kB
Active:           467368 kB
Inactive:         513340 kB
Active(anon):     325244 kB
Inactive(anon):   264724 kB
Active(file):     142124 kB
Inactive(file):   248616 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                36 kB
Writeback:             0 kB
AnonPages:        583704 kB
Mapped:           386932 kB
Shmem:              6204 kB
KReclaimable:     371596 kB
Slab:             749372 kB
SReclaimable:     371596 kB
SUnreclaim:       377776 kB
KernelStack:       32128 kB
PageTables:        30232 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    278773860 kB
Committed_AS:    6542540 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      102996 kB
VmallocChunk:          0 kB
Percpu:           117376 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     1109480 kB
DirectMap2M:     7763968 kB
DirectMap1G:    1182793728 kB
