pgmigrate_success 8816
pgmigrate_fail 17676
thp_fault_alloc 0
thp_fault_fallback 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       547614928 kB
MemFree:        527579320 kB
MemAvailable:   526940612 kB
Buffers:          169036 kB
Cached:           629088 kB
SwapCached:          524 kB
Active:           658184 kB
Inactive:         728900 kB
Active(anon):     252416 kB
Inactive(anon):   342844 kB
Active(file):     405768 kB
Inactive(file):   386056 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2094844 kB
Dirty:               152 kB
Writeback:             0 kB
AnonPages:        588984 kB
Mapped:           368964 kB
Shmem:              6196 kB
KReclaimable:     382048 kB
Slab:             756872 kB
SReclaimable:     382048 kB
SUnreclaim:       374824 kB
KernelStack:       31904 kB
PageTables:        28872 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    275904612 kB
Committed_AS:    6449180 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      103608 kB
VmallocChunk:          0 kB
Percpu:           118720 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      937448 kB
DirectMap2M:     7936000 kB
DirectMap1G:    1182793728 kB
