pgmigrate_success 8276772
pgmigrate_fail 39560
thp_fault_alloc 0
thp_fault_fallback 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       1080978640 kB
MemFree:        1060417732 kB
MemAvailable:   1058409776 kB
Buffers:           74012 kB
Cached:           424884 kB
SwapCached:            0 kB
Active:           216336 kB
Inactive:         763476 kB
Active(anon):     118712 kB
Inactive(anon):   529252 kB
Active(file):      97624 kB
Inactive(file):   234224 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                48 kB
Writeback:             0 kB
AnonPages:        686064 kB
Mapped:           376268 kB
Shmem:              6204 kB
KReclaimable:     291680 kB
Slab:             747532 kB
SReclaimable:     291680 kB
SUnreclaim:       455852 kB
KernelStack:       32112 kB
PageTables:        28504 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    542586468 kB
Committed_AS:    6922688 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      103432 kB
VmallocChunk:          0 kB
Percpu:           118272 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      904680 kB
DirectMap2M:     9017344 kB
DirectMap1G:    1179648000 kB
