pgmigrate_success 6528253
pgmigrate_fail 7201805
thp_fault_alloc 0
thp_fault_fallback 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       547614928 kB
MemFree:        527617056 kB
MemAvailable:   526667444 kB
Buffers:          174880 kB
Cached:           472336 kB
SwapCached:          540 kB
Active:           154308 kB
Inactive:         787196 kB
Active(anon):     103964 kB
Inactive(anon):   573192 kB
Active(file):      50344 kB
Inactive(file):   214004 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2093052 kB
Dirty:               260 kB
Writeback:             0 kB
AnonPages:        673260 kB
Mapped:           369496 kB
Shmem:              6196 kB
KReclaimable:     287708 kB
Slab:             706292 kB
SReclaimable:     287708 kB
SUnreclaim:       418584 kB
KernelStack:       32788 kB
PageTables:        30604 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    275904612 kB
Committed_AS:    6645728 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      103656 kB
VmallocChunk:          0 kB
Percpu:           118720 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      937448 kB
DirectMap2M:     7936000 kB
DirectMap1G:    1182793728 kB
