pgmigrate_success 590996
pgmigrate_fail 20318
thp_fault_alloc 0
thp_fault_fallback 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       551165144 kB
MemFree:        530685388 kB
MemAvailable:   529757488 kB
Buffers:           76224 kB
Cached:           439536 kB
SwapCached:            4 kB
Active:           127892 kB
Inactive:         825052 kB
Active(anon):      53448 kB
Inactive(anon):   550804 kB
Active(file):      74444 kB
Inactive(file):   274248 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2096892 kB
Dirty:                32 kB
Writeback:             0 kB
AnonPages:        602648 kB
Mapped:           385284 kB
Shmem:              6208 kB
KReclaimable:     288916 kB
Slab:             698716 kB
SReclaimable:     288916 kB
SUnreclaim:       409800 kB
KernelStack:       32832 kB
PageTables:        27856 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    277679720 kB
Committed_AS:    7066908 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      103036 kB
VmallocChunk:          0 kB
Percpu:           117824 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      904680 kB
DirectMap2M:     9017344 kB
DirectMap1G:    1181745152 kB
