pgmigrate_success 8258650
pgmigrate_fail 39494
thp_fault_alloc 0
thp_fault_fallback 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       1080978640 kB
MemFree:        1060428564 kB
MemAvailable:   1058421320 kB
Buffers:           72576 kB
Cached:           423748 kB
SwapCached:            0 kB
Active:           212408 kB
Inactive:         764008 kB
Active(anon):     115652 kB
Inactive(anon):   526656 kB
Active(file):      96756 kB
Inactive(file):   237352 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                44 kB
Writeback:             0 kB
AnonPages:        684316 kB
Mapped:           375580 kB
Shmem:              6204 kB
KReclaimable:     290836 kB
Slab:             744184 kB
SReclaimable:     290836 kB
SUnreclaim:       453348 kB
KernelStack:       32592 kB
PageTables:        28832 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    542586468 kB
Committed_AS:    7469368 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      103320 kB
VmallocChunk:          0 kB
Percpu:           118272 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      904680 kB
DirectMap2M:     9017344 kB
DirectMap1G:    1179648000 kB
