pgmigrate_success 80585
pgmigrate_fail 0
thp_migration_success 152
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 32702
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 35
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 49
thp_split_pmd 49
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 0
htmm_nr_demoted 78460
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 2027177
htmm_alloc_nvm 15307872
MemTotal:       1184200784 kB
MemFree:        1164549048 kB
MemAvailable:   1162266880 kB
Buffers:           60896 kB
Cached:           495380 kB
SwapCached:            0 kB
Active:           238112 kB
Inactive:        1111484 kB
Active(anon):        460 kB
Inactive(anon):   798952 kB
Active(file):     237652 kB
Inactive(file):   312532 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               108 kB
Writeback:             0 kB
AnonPages:        791124 kB
Mapped:           368992 kB
Shmem:              6108 kB
KReclaimable:     427528 kB
Slab:             817536 kB
SReclaimable:     427528 kB
SUnreclaim:       390008 kB
KernelStack:       31424 kB
PageTables:        33828 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100392 kB
Committed_AS:    8410004 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      191880 kB
VmallocChunk:          0 kB
Percpu:           120960 kB
HardwareCorrupted:     0 kB
AnonHugePages:     71680 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      646632 kB
DirectMap2M:     8226816 kB
DirectMap1G:    1180696576 kB
