pgmigrate_success 761481
pgmigrate_fail 0
thp_migration_success 355
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 598899
thp_fault_fallback 7
thp_fault_fallback_charge 0
thp_collapse_alloc 294
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 67
thp_split_pmd 453
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 92160
htmm_nr_demoted 89751
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 50973124
htmm_alloc_nvm 275758353
MemTotal:       1184200784 kB
MemFree:        1156533328 kB
MemAvailable:   1159316688 kB
Buffers:          127544 kB
Cached:          6509680 kB
SwapCached:            0 kB
Active:          2083704 kB
Inactive:        6869900 kB
Active(anon):        764 kB
Inactive(anon):  2289912 kB
Active(file):    2082940 kB
Inactive(file):  4579988 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 4 kB
Writeback:             0 kB
AnonPages:       2290068 kB
Mapped:           503464 kB
Shmem:              6204 kB
KReclaimable:     426264 kB
Slab:             874836 kB
SReclaimable:     426264 kB
SUnreclaim:       448572 kB
KernelStack:       37872 kB
PageTables:        57576 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100392 kB
Committed_AS:   10838172 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      202352 kB
VmallocChunk:          0 kB
Percpu:           124544 kB
HardwareCorrupted:     0 kB
AnonHugePages:    534528 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      675304 kB
DirectMap2M:     8198144 kB
DirectMap1G:    1180696576 kB
