pgmigrate_success 585331
pgmigrate_fail 0
thp_migration_success 15
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 32713
thp_fault_fallback 7
thp_fault_fallback_charge 0
thp_collapse_alloc 23
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 18
thp_split_pmd 18
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 5120
htmm_nr_demoted 2694
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 17983980
htmm_alloc_nvm 15320485
MemTotal:       1184200784 kB
MemFree:        1163759596 kB
MemAvailable:   1161593900 kB
Buffers:           69724 kB
Cached:           718732 kB
SwapCached:            0 kB
Active:           362392 kB
Inactive:        1703836 kB
Active(anon):        528 kB
Inactive(anon):  1249100 kB
Active(file):     361864 kB
Inactive(file):   454736 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 8 kB
Writeback:             0 kB
AnonPages:       1277948 kB
Mapped:           443744 kB
Shmem:              6220 kB
KReclaimable:     394052 kB
Slab:             832012 kB
SReclaimable:     394052 kB
SUnreclaim:       437960 kB
KernelStack:       34672 kB
PageTables:        44060 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100392 kB
Committed_AS:    9565596 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      199472 kB
VmallocChunk:          0 kB
Percpu:           123200 kB
HardwareCorrupted:     0 kB
AnonHugePages:     49152 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      671208 kB
DirectMap2M:     8202240 kB
DirectMap1G:    1180696576 kB
