pgmigrate_success 91041480
pgmigrate_fail 31549
thp_migration_success 51097
thp_migration_fail 220
thp_migration_split 0
thp_fault_alloc 382535
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 253
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 4918
thp_split_pmd 9130
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 36794680
htmm_nr_demoted 54211249
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 77453977
htmm_alloc_nvm 134839182
MemTotal:       1184200812 kB
MemFree:        1085076720 kB
MemAvailable:   1160741204 kB
Buffers:          281404 kB
Cached:         79163100 kB
SwapCached:            0 kB
Active:         71108236 kB
Inactive:       10257456 kB
Active(anon):          0 kB
Inactive(anon):  1927320 kB
Active(file):   71108236 kB
Inactive(file):  8330136 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               232 kB
Writeback:             0 kB
AnonPages:        721904 kB
Mapped:           393164 kB
Shmem:              6200 kB
KReclaimable:     637376 kB
Slab:            1069720 kB
SReclaimable:     637376 kB
SUnreclaim:       432344 kB
KernelStack:       32176 kB
PageTables:        31764 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    6601300 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196472 kB
VmallocChunk:          0 kB
Percpu:           139776 kB
HardwareCorrupted:     0 kB
AnonHugePages:    149504 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      632296 kB
DirectMap2M:     8241152 kB
DirectMap1G:    1180696576 kB
