pgmigrate_success 634
pgmigrate_fail 0
thp_migration_success 1
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 32785
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 20
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 79
thp_split_pmd 85
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 512
htmm_nr_demoted 32
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 4760084
htmm_alloc_nvm 12960945
MemTotal:       1184200812 kB
MemFree:        1162532192 kB
MemAvailable:   1160921924 kB
Buffers:          236260 kB
Cached:          1603200 kB
SwapCached:            0 kB
Active:           528692 kB
Inactive:        2417696 kB
Active(anon):       2952 kB
Inactive(anon):  1110256 kB
Active(file):     525740 kB
Inactive(file):  1307440 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:             11764 kB
Writeback:             4 kB
AnonPages:       1106952 kB
Mapped:           433196 kB
Shmem:              6200 kB
KReclaimable:     488080 kB
Slab:             893052 kB
SReclaimable:     488080 kB
SUnreclaim:       404972 kB
KernelStack:       31968 kB
PageTables:        43188 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    6668804 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196768 kB
VmallocChunk:          0 kB
Percpu:           125440 kB
HardwareCorrupted:     0 kB
AnonHugePages:     96256 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      544232 kB
DirectMap2M:     8329216 kB
DirectMap1G:    1180696576 kB
