pgmigrate_success 20579938
pgmigrate_fail 4572
thp_migration_success 27528
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 195345
thp_fault_fallback 10276
thp_fault_fallback_charge 0
thp_collapse_alloc 406
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 2121
thp_split_pmd 23725
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 8383738
htmm_nr_demoted 10562785
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 59449470
htmm_alloc_nvm 55202445
MemTotal:       1184200812 kB
MemFree:        1144888312 kB
MemAvailable:   1160207160 kB
Buffers:          780536 kB
Cached:         18195216 kB
SwapCached:            0 kB
Active:         16284276 kB
Inactive:        3936340 kB
Active(anon):       2900 kB
Inactive(anon):  1248596 kB
Active(file):   16281376 kB
Inactive(file):  2687744 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 4 kB
Writeback:             0 kB
AnonPages:       1238384 kB
Mapped:           465592 kB
Shmem:              6200 kB
KReclaimable:     884604 kB
Slab:            1325108 kB
SReclaimable:     884604 kB
SUnreclaim:       440504 kB
KernelStack:       32272 kB
PageTables:        44492 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    6719212 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196800 kB
VmallocChunk:          0 kB
Percpu:           141120 kB
HardwareCorrupted:     0 kB
AnonHugePages:    315392 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      544232 kB
DirectMap2M:     8329216 kB
DirectMap1G:    1180696576 kB
