pgmigrate_success 133052835
pgmigrate_fail 105111
thp_migration_success 246943
thp_migration_fail 168
thp_migration_split 0
thp_fault_alloc 381547
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 183
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 2178
thp_split_pmd 5963
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 57379359
htmm_nr_demoted 75422865
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 117492703
htmm_alloc_nvm 91311727
MemTotal:       1184200816 kB
MemFree:        1078491240 kB
MemAvailable:   1160425916 kB
Buffers:          796160 kB
Cached:         84706852 kB
SwapCached:            0 kB
Active:         47153340 kB
Inactive:       39132136 kB
Active(anon):       2924 kB
Inactive(anon):   785724 kB
Active(file):   47150416 kB
Inactive(file): 38346412 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:              1036 kB
Writeback:             0 kB
AnonPages:        767988 kB
Mapped:           462468 kB
Shmem:              6200 kB
KReclaimable:    1060844 kB
Slab:            1536060 kB
SReclaimable:    1060844 kB
SUnreclaim:       475216 kB
KernelStack:       32048 kB
PageTables:        32888 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100408 kB
Committed_AS:    6685068 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196784 kB
VmallocChunk:          0 kB
Percpu:           141568 kB
HardwareCorrupted:     0 kB
AnonHugePages:    178176 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      646632 kB
DirectMap2M:     8226816 kB
DirectMap1G:    1180696576 kB
