pgmigrate_success 33065539
pgmigrate_fail 53379
thp_migration_success 52029
thp_migration_fail 71
thp_migration_split 0
thp_fault_alloc 225519
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 56
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 943
thp_split_pmd 2771
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 11188056
htmm_nr_demoted 21748383
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 64628287
htmm_alloc_nvm 55950955
MemTotal:       1184200816 kB
MemFree:        1080733564 kB
MemAvailable:   1160444864 kB
Buffers:          233816 kB
Cached:         83439968 kB
SwapCached:            0 kB
Active:         28481924 kB
Inactive:       55997048 kB
Active(anon):       3004 kB
Inactive(anon):   808376 kB
Active(file):   28478920 kB
Inactive(file): 55188672 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                32 kB
Writeback:             0 kB
AnonPages:        793112 kB
Mapped:           564068 kB
Shmem:              6200 kB
KReclaimable:     678340 kB
Slab:            1143592 kB
SReclaimable:     678340 kB
SUnreclaim:       465252 kB
KernelStack:       41696 kB
PageTables:        36616 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100408 kB
Committed_AS:   11418512 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      206144 kB
VmallocChunk:          0 kB
Percpu:           128576 kB
HardwareCorrupted:     0 kB
AnonHugePages:    118784 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      646632 kB
DirectMap2M:     8226816 kB
DirectMap1G:    1180696576 kB
