pgmigrate_success 33065788
pgmigrate_fail 53379
thp_migration_success 52029
thp_migration_fail 71
thp_migration_split 0
thp_fault_alloc 225632
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 156
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 1022
thp_split_pmd 2913
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 11188056
htmm_nr_demoted 21748383
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 65938404
htmm_alloc_nvm 55950955
MemTotal:       1184200816 kB
MemFree:        1080590464 kB
MemAvailable:   1160716896 kB
Buffers:          767048 kB
Cached:         82959360 kB
SwapCached:            0 kB
Active:         29335744 kB
Inactive:       55135120 kB
Active(anon):       2892 kB
Inactive(anon):   747764 kB
Active(file):   29332852 kB
Inactive(file): 54387356 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                96 kB
Writeback:             0 kB
AnonPages:        741752 kB
Mapped:           441824 kB
Shmem:              6200 kB
KReclaimable:     997596 kB
Slab:            1458572 kB
SReclaimable:     997596 kB
SUnreclaim:       460976 kB
KernelStack:       32128 kB
PageTables:        32784 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100408 kB
Committed_AS:    6632552 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196640 kB
VmallocChunk:          0 kB
Percpu:           140224 kB
HardwareCorrupted:     0 kB
AnonHugePages:    180224 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      646632 kB
DirectMap2M:     8226816 kB
DirectMap1G:    1180696576 kB
