pgmigrate_success 2002
pgmigrate_fail 0
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 0
htmm_nr_demoted 0
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 627819
htmm_alloc_nvm 0
MemTotal:       1184200816 kB
MemFree:        1163267420 kB
MemAvailable:   1161624260 kB
Buffers:          206904 kB
Cached:          1606036 kB
SwapCached:            0 kB
Active:           463596 kB
Inactive:        1962368 kB
Active(anon):       2908 kB
Inactive(anon):   616300 kB
Active(file):     460688 kB
Inactive(file):  1346068 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:              1480 kB
Writeback:             0 kB
AnonPages:        613496 kB
Mapped:           419556 kB
Shmem:              6200 kB
KReclaimable:     448716 kB
Slab:             841056 kB
SReclaimable:     448716 kB
SUnreclaim:       392340 kB
KernelStack:       32048 kB
PageTables:        31840 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100408 kB
Committed_AS:    6645000 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196656 kB
VmallocChunk:          0 kB
Percpu:           127232 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      646632 kB
DirectMap2M:     8226816 kB
DirectMap1G:    1180696576 kB
