pgmigrate_success 3790205
pgmigrate_fail 371
thp_migration_success 461
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 122922
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 44
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 275
thp_split_pmd 419
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 39483
htmm_nr_demoted 3748587
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 28758867
htmm_alloc_nvm 35605134
MemTotal:       1184200816 kB
MemFree:        1130715328 kB
MemAvailable:   1160952252 kB
Buffers:          227964 kB
Cached:         33836492 kB
SwapCached:            0 kB
Active:         28311728 kB
Inactive:        6502020 kB
Active(anon):       2944 kB
Inactive(anon):   752532 kB
Active(file):   28308784 kB
Inactive(file):  5749488 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:             10696 kB
Writeback:             0 kB
AnonPages:        741068 kB
Mapped:           494964 kB
Shmem:              6200 kB
KReclaimable:     542452 kB
Slab:             974188 kB
SReclaimable:     542452 kB
SUnreclaim:       431736 kB
KernelStack:       32544 kB
PageTables:        33288 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100408 kB
Committed_AS:    6786012 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      197056 kB
VmallocChunk:          0 kB
Percpu:           127232 kB
HardwareCorrupted:     0 kB
AnonHugePages:     81920 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      646632 kB
DirectMap2M:     8226816 kB
DirectMap1G:    1180696576 kB
