pgmigrate_success 4602146
pgmigrate_fail 0
thp_migration_success 6055
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 158779
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 37
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 199
thp_split_pmd 203
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 1612800
htmm_nr_demoted 2982751
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 31749627
htmm_alloc_nvm 50637931
MemTotal:       1184200812 kB
MemFree:        1130913324 kB
MemAvailable:   1160874908 kB
Buffers:          512180 kB
Cached:         33193516 kB
SwapCached:            0 kB
Active:           831788 kB
Inactive:       33564108 kB
Active(anon):       2928 kB
Inactive(anon):   693412 kB
Active(file):     828860 kB
Inactive(file): 32870696 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:        684964 kB
Mapped:           419300 kB
Shmem:              6156 kB
KReclaimable:     709204 kB
Slab:            1121328 kB
SReclaimable:     709204 kB
SUnreclaim:       412124 kB
KernelStack:       31872 kB
PageTables:        33736 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    8522884 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196424 kB
VmallocChunk:          0 kB
Percpu:           135296 kB
HardwareCorrupted:     0 kB
AnonHugePages:     57344 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      579048 kB
DirectMap2M:     8294400 kB
DirectMap1G:    1180696576 kB
