pgmigrate_success 4602146
pgmigrate_fail 0
thp_migration_success 6055
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 158779
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 38
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 201
thp_split_pmd 206
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 1612800
htmm_nr_demoted 2982751
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 31754869
htmm_alloc_nvm 50637931
MemTotal:       1184200812 kB
MemFree:        1130913720 kB
MemAvailable:   1160875408 kB
Buffers:          512256 kB
Cached:         33193552 kB
SwapCached:            0 kB
Active:           831884 kB
Inactive:       33565988 kB
Active(anon):       2912 kB
Inactive(anon):   695304 kB
Active(file):     828972 kB
Inactive(file): 32870684 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                16 kB
Writeback:             0 kB
AnonPages:        687304 kB
Mapped:           418880 kB
Shmem:              6156 kB
KReclaimable:     709212 kB
Slab:            1121868 kB
SReclaimable:     709212 kB
SUnreclaim:       412656 kB
KernelStack:       31712 kB
PageTables:        33944 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    8522884 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196360 kB
VmallocChunk:          0 kB
Percpu:           135296 kB
HardwareCorrupted:     0 kB
AnonHugePages:     55296 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      579048 kB
DirectMap2M:     8294400 kB
DirectMap1G:    1180696576 kB
