pgmigrate_success 2076
pgmigrate_fail 0
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 1
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 0
htmm_nr_demoted 0
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 538671
htmm_alloc_nvm 0
MemTotal:       1184200812 kB
MemFree:        1163690112 kB
MemAvailable:   1161816052 kB
Buffers:          183260 kB
Cached:          1232960 kB
SwapCached:            0 kB
Active:           496968 kB
Inactive:        1522368 kB
Active(anon):       2836 kB
Inactive(anon):   606432 kB
Active(file):     494132 kB
Inactive(file):   915936 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                24 kB
Writeback:             0 kB
AnonPages:        603248 kB
Mapped:           409132 kB
Shmem:              6200 kB
KReclaimable:     383852 kB
Slab:             769220 kB
SReclaimable:     383852 kB
SUnreclaim:       385368 kB
KernelStack:       31760 kB
PageTables:        33104 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    6629524 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196400 kB
VmallocChunk:          0 kB
Percpu:           125440 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      624104 kB
DirectMap2M:     8249344 kB
DirectMap1G:    1180696576 kB
