pgmigrate_success 141959405
pgmigrate_fail 3303
thp_migration_success 53489
thp_migration_fail 16
thp_migration_split 0
thp_fault_alloc 707180
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 206
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 1778
thp_split_pmd 9792
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 60668038
htmm_nr_demoted 81290472
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 222288707
htmm_alloc_nvm 165842248
MemTotal:       1184200816 kB
MemFree:        1158266252 kB
MemAvailable:   1160007000 kB
Buffers:          820288 kB
Cached:          4611852 kB
SwapCached:            0 kB
Active:          3625224 kB
Inactive:        4725384 kB
Active(anon):          0 kB
Inactive(anon):  2924672 kB
Active(file):    3625224 kB
Inactive(file):  1800712 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                80 kB
Writeback:             0 kB
AnonPages:       1015180 kB
Mapped:           461636 kB
Shmem:              6208 kB
KReclaimable:     814772 kB
Slab:            1327476 kB
SReclaimable:     814772 kB
SUnreclaim:       512704 kB
KernelStack:       69472 kB
PageTables:        44468 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100408 kB
Committed_AS:   25715024 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      234644 kB
VmallocChunk:          0 kB
Percpu:           150080 kB
HardwareCorrupted:     0 kB
AnonHugePages:    309248 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      703976 kB
DirectMap2M:     8169472 kB
DirectMap1G:    1180696576 kB
