pgmigrate_success 9530119
pgmigrate_fail 9
thp_migration_success 10733
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 82598
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 231
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 1273
thp_split_pmd 2035
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 4825088
htmm_nr_demoted 4702517
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 27909978
htmm_alloc_nvm 20928947
MemTotal:       1184200812 kB
MemFree:        1137018696 kB
MemAvailable:   1159894272 kB
Buffers:          754748 kB
Cached:         25783784 kB
SwapCached:            0 kB
Active:         23213868 kB
Inactive:        4759248 kB
Active(anon):       2968 kB
Inactive(anon):  1437808 kB
Active(file):   23210900 kB
Inactive(file):  3321440 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:              4916 kB
Writeback:             0 kB
AnonPages:       1421188 kB
Mapped:           566804 kB
Shmem:              6208 kB
KReclaimable:     871868 kB
Slab:            1340660 kB
SReclaimable:     871868 kB
SUnreclaim:       468792 kB
KernelStack:       32592 kB
PageTables:        49128 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    7086312 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      197128 kB
VmallocChunk:          0 kB
Percpu:           134848 kB
HardwareCorrupted:     0 kB
AnonHugePages:    305152 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      587240 kB
DirectMap2M:     9334784 kB
DirectMap1G:    1179648000 kB
