pgmigrate_success 340901
pgmigrate_fail 0
thp_migration_success 661
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 16491
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 18
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 5
thp_split_pmd 5
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 174592
htmm_nr_demoted 164214
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 5226121
htmm_alloc_nvm 4195413
MemTotal:       1184200812 kB
MemFree:        1162908176 kB
MemAvailable:   1161121928 kB
Buffers:          228132 kB
Cached:          1314788 kB
SwapCached:            0 kB
Active:           491140 kB
Inactive:        2235092 kB
Active(anon):       2952 kB
Inactive(anon):  1186552 kB
Active(file):     488188 kB
Inactive(file):  1048540 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               188 kB
Writeback:             0 kB
AnonPages:       1184016 kB
Mapped:           435784 kB
Shmem:              6200 kB
KReclaimable:     432576 kB
Slab:             831240 kB
SReclaimable:     432576 kB
SUnreclaim:       398664 kB
KernelStack:       32176 kB
PageTables:        45320 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    6865368 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196792 kB
VmallocChunk:          0 kB
Percpu:           124544 kB
HardwareCorrupted:     0 kB
AnonHugePages:     47104 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      607720 kB
DirectMap2M:     8265728 kB
DirectMap1G:    1180696576 kB
