pgmigrate_success 607299
pgmigrate_fail 2
thp_migration_success 1184
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 67769
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 99
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 210
thp_split_pmd 229
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 307200
htmm_nr_demoted 299730
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 18601114
htmm_alloc_nvm 17566061
MemTotal:       1184200808 kB
MemFree:        1163279440 kB
MemAvailable:   1161509012 kB
Buffers:          221564 kB
Cached:          1346212 kB
SwapCached:            0 kB
Active:           544160 kB
Inactive:        1773488 kB
Active(anon):       2884 kB
Inactive(anon):   753184 kB
Active(file):     541276 kB
Inactive(file):  1020304 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                20 kB
Writeback:             0 kB
AnonPages:        746608 kB
Mapped:           408660 kB
Shmem:              6200 kB
KReclaimable:     439360 kB
Slab:             862780 kB
SReclaimable:     439360 kB
SUnreclaim:       423420 kB
KernelStack:       32800 kB
PageTables:        32660 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    7020640 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      197184 kB
VmallocChunk:          0 kB
Percpu:           127680 kB
HardwareCorrupted:     0 kB
AnonHugePages:    163840 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      577000 kB
DirectMap2M:     8296448 kB
DirectMap1G:    1180696576 kB
