pgmigrate_success 474030
pgmigrate_fail 1
thp_migration_success 924
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 50830
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 72
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 163
thp_split_pmd 165
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 239616
htmm_nr_demoted 234045
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 14055918
htmm_alloc_nvm 13161130
MemTotal:       1184200808 kB
MemFree:        1163366404 kB
MemAvailable:   1161545504 kB
Buffers:          216556 kB
Cached:          1252304 kB
SwapCached:            0 kB
Active:           469472 kB
Inactive:        1765108 kB
Active(anon):       2944 kB
Inactive(anon):   768980 kB
Active(file):     466528 kB
Inactive(file):   996128 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                12 kB
Writeback:             0 kB
AnonPages:        763732 kB
Mapped:           433696 kB
Shmem:              6200 kB
KReclaimable:     437344 kB
Slab:             857472 kB
SReclaimable:     437344 kB
SUnreclaim:       420128 kB
KernelStack:       31856 kB
PageTables:        32768 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    6680696 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196728 kB
VmallocChunk:          0 kB
Percpu:           126336 kB
HardwareCorrupted:     0 kB
AnonHugePages:    141312 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      577000 kB
DirectMap2M:     8296448 kB
DirectMap1G:    1180696576 kB
