pgmigrate_success 77105
pgmigrate_fail 1
thp_migration_success 149
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 33901
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 41
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 123
thp_split_pmd 125
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 39424
htmm_nr_demoted 37313
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 9597243
htmm_alloc_nvm 8765152
MemTotal:       1184200808 kB
MemFree:        1163518668 kB
MemAvailable:   1161697220 kB
Buffers:          215968 kB
Cached:          1252244 kB
SwapCached:            0 kB
Active:           456120 kB
Inactive:        1668788 kB
Active(anon):       2876 kB
Inactive(anon):   660012 kB
Active(file):     453244 kB
Inactive(file):  1008776 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:        656368 kB
Mapped:           376848 kB
Shmem:              6200 kB
KReclaimable:     436880 kB
Slab:             847796 kB
SReclaimable:     436880 kB
SUnreclaim:       410916 kB
KernelStack:       31872 kB
PageTables:        31884 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    6541332 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196328 kB
VmallocChunk:          0 kB
Percpu:           126336 kB
HardwareCorrupted:     0 kB
AnonHugePages:     71680 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      577000 kB
DirectMap2M:     8296448 kB
DirectMap1G:    1180696576 kB
