pgmigrate_success 5233788
pgmigrate_fail 0
thp_migration_success 10182
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 66037
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 94
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 547
thp_split_pmd 1588
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 2384896
htmm_nr_demoted 2836230
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 19364021
htmm_alloc_nvm 16781295
MemTotal:       1184200812 kB
MemFree:        1162780804 kB
MemAvailable:   1161004528 kB
Buffers:          246672 kB
Cached:          1280244 kB
SwapCached:            0 kB
Active:           525280 kB
Inactive:        2269644 kB
Active(anon):       2928 kB
Inactive(anon):  1271280 kB
Active(file):     522352 kB
Inactive(file):   998364 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:       1261120 kB
Mapped:           433144 kB
Shmem:              6200 kB
KReclaimable:     468524 kB
Slab:             877656 kB
SReclaimable:     468524 kB
SUnreclaim:       409132 kB
KernelStack:       32208 kB
PageTables:        43840 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    6820000 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196976 kB
VmallocChunk:          0 kB
Percpu:           128128 kB
HardwareCorrupted:     0 kB
AnonHugePages:    118784 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      609768 kB
DirectMap2M:     8263680 kB
DirectMap1G:    1180696576 kB
