pgmigrate_success 18400570
pgmigrate_fail 386
thp_migration_success 35869
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 460054
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 114
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 205
thp_split_pmd 1530
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 2190288
htmm_nr_demoted 16209665
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 139636356
htmm_alloc_nvm 102652880
MemTotal:       1184200816 kB
MemFree:        1161908280 kB
MemAvailable:   1160698232 kB
Buffers:          715952 kB
Cached:          1631392 kB
SwapCached:            0 kB
Active:          1173656 kB
Inactive:        2004388 kB
Active(anon):       2908 kB
Inactive(anon):   833984 kB
Active(file):    1170748 kB
Inactive(file):  1170404 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               160 kB
Writeback:             0 kB
AnonPages:        818236 kB
Mapped:           457416 kB
Shmem:              6200 kB
KReclaimable:     780552 kB
Slab:            1237960 kB
SReclaimable:     780552 kB
SUnreclaim:       457408 kB
KernelStack:       32960 kB
PageTables:        33320 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100408 kB
Committed_AS:    7201696 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      197624 kB
VmallocChunk:          0 kB
Percpu:           138880 kB
HardwareCorrupted:     0 kB
AnonHugePages:    172032 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      703976 kB
DirectMap2M:     8169472 kB
DirectMap1G:    1180696576 kB
