pgmigrate_success 20184957
pgmigrate_fail 0
thp_migration_success 33113
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 137089
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 411
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 2776
thp_split_pmd 12866
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 9634816
htmm_nr_demoted 10537364
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 46164389
htmm_alloc_nvm 36919353
MemTotal:       1184200812 kB
MemFree:        1139037612 kB
MemAvailable:   1159998968 kB
Buffers:          854852 kB
Cached:         23772380 kB
SwapCached:            0 kB
Active:         23565592 kB
Inactive:        2459372 kB
Active(anon):       2964 kB
Inactive(anon):  1400980 kB
Active(file):   23562628 kB
Inactive(file):  1058392 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                12 kB
Writeback:             0 kB
AnonPages:       1385484 kB
Mapped:           434776 kB
Shmem:              6212 kB
KReclaimable:     865820 kB
Slab:            1311436 kB
SReclaimable:     865820 kB
SUnreclaim:       445616 kB
KernelStack:       32592 kB
PageTables:        45080 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    6954852 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      198156 kB
VmallocChunk:          0 kB
Percpu:           142912 kB
HardwareCorrupted:     0 kB
AnonHugePages:    337920 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      613864 kB
DirectMap2M:     8259584 kB
DirectMap1G:    1180696576 kB
