pgmigrate_success 1711232
pgmigrate_fail 0
thp_migration_success 3312
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 16650
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 30
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 266
thp_split_pmd 266
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 858624
htmm_nr_demoted 840200
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 5849942
htmm_alloc_nvm 4195336
MemTotal:       1184200812 kB
MemFree:        1162841084 kB
MemAvailable:   1161059304 kB
Buffers:          237188 kB
Cached:          1279868 kB
SwapCached:            0 kB
Active:           502388 kB
Inactive:        2262916 kB
Active(anon):       2908 kB
Inactive(anon):  1251532 kB
Active(file):     499480 kB
Inactive(file):  1011384 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               152 kB
Writeback:             0 kB
AnonPages:       1247900 kB
Mapped:           432788 kB
Shmem:              6200 kB
KReclaimable:     467372 kB
Slab:             871888 kB
SReclaimable:     467372 kB
SUnreclaim:       404516 kB
KernelStack:       32480 kB
PageTables:        44332 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    6819532 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196928 kB
VmallocChunk:          0 kB
Percpu:           126784 kB
HardwareCorrupted:     0 kB
AnonHugePages:     71680 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      609768 kB
DirectMap2M:     8263680 kB
DirectMap1G:    1180696576 kB
