pgmigrate_success 11279021
pgmigrate_fail 0
thp_migration_success 15725
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 103684
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 176
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 2339
thp_split_pmd 5977
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 5222912
htmm_nr_demoted 6043416
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 30894894
htmm_alloc_nvm 28427836
MemTotal:       1184200812 kB
MemFree:        1139614436 kB
MemAvailable:   1160248820 kB
Buffers:          721452 kB
Cached:         23584584 kB
SwapCached:            0 kB
Active:         23059076 kB
Inactive:        2458144 kB
Active(anon):       2912 kB
Inactive(anon):  1214492 kB
Active(file):   23056164 kB
Inactive(file):  1243652 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               332 kB
Writeback:             0 kB
AnonPages:       1193516 kB
Mapped:           433028 kB
Shmem:              6208 kB
KReclaimable:     854284 kB
Slab:            1281296 kB
SReclaimable:     854284 kB
SUnreclaim:       427012 kB
KernelStack:       32464 kB
PageTables:        41028 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    6916656 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      197088 kB
VmallocChunk:          0 kB
Percpu:           132160 kB
HardwareCorrupted:     0 kB
AnonHugePages:    184320 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      609768 kB
DirectMap2M:     8263680 kB
DirectMap1G:    1180696576 kB
