pgmigrate_success 20930717
pgmigrate_fail 416
thp_migration_success 40797
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 544505
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 127
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 205
thp_split_pmd 2379
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 2212348
htmm_nr_demoted 18717752
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 163040515
htmm_alloc_nvm 123042586
MemTotal:       1184200816 kB
MemFree:        1161854596 kB
MemAvailable:   1160646460 kB
Buffers:          718888 kB
Cached:          1631656 kB
SwapCached:            0 kB
Active:          1176948 kB
Inactive:        1992724 kB
Active(anon):       3260 kB
Inactive(anon):   822060 kB
Active(file):    1173688 kB
Inactive(file):  1170664 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                36 kB
Writeback:             0 kB
AnonPages:        819160 kB
Mapped:           457804 kB
Shmem:              6200 kB
KReclaimable:     781172 kB
Slab:            1240036 kB
SReclaimable:     781172 kB
SUnreclaim:       458864 kB
KernelStack:       32688 kB
PageTables:        33360 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100408 kB
Committed_AS:    7204900 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      197704 kB
VmallocChunk:          0 kB
Percpu:           141568 kB
HardwareCorrupted:     0 kB
AnonHugePages:    198656 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      703976 kB
DirectMap2M:     8169472 kB
DirectMap1G:    1180696576 kB
