pgmigrate_success 34930318
pgmigrate_fail 58
thp_migration_success 54101
thp_migration_fail 54
thp_migration_split 0
thp_fault_alloc 260803
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 106
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 1368
thp_split_pmd 2155
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 17273516
htmm_nr_demoted 17651982
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 95889029
htmm_alloc_nvm 41506085
MemTotal:       1184200808 kB
MemFree:        1132794200 kB
MemAvailable:   1160923568 kB
Buffers:          195084 kB
Cached:         31802144 kB
SwapCached:            0 kB
Active:         28675884 kB
Inactive:        4069044 kB
Active(anon):       2936 kB
Inactive(anon):   750892 kB
Active(file):   28672948 kB
Inactive(file):  3318152 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 4 kB
Writeback:             0 kB
AnonPages:        732436 kB
Mapped:           382256 kB
Shmem:              6160 kB
KReclaimable:     461932 kB
Slab:             884272 kB
SReclaimable:     461932 kB
SUnreclaim:       422340 kB
KernelStack:       32368 kB
PageTables:        33620 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    8608440 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196608 kB
VmallocChunk:          0 kB
Percpu:           129472 kB
HardwareCorrupted:     0 kB
AnonHugePages:    112640 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      695784 kB
DirectMap2M:     8177664 kB
DirectMap1G:    1180696576 kB
