pgmigrate_success 320497350
pgmigrate_fail 149417
thp_migration_success 119567
thp_migration_fail 116
thp_migration_split 0
thp_fault_alloc 1276773
thp_fault_fallback 13462
thp_fault_fallback_charge 0
thp_collapse_alloc 505
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 7474
thp_split_pmd 18262
thp_split_pud 0
thp_zero_page_alloc 18
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 143304441
htmm_nr_demoted 175691814
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 468879519
htmm_alloc_nvm 253471568
MemTotal:       1184200816 kB
MemFree:        1106525772 kB
MemAvailable:   1159467444 kB
Buffers:          410660 kB
Cached:         56338308 kB
SwapCached:            0 kB
Active:         49853348 kB
Inactive:       13379004 kB
Active(anon):          0 kB
Inactive(anon):  6489604 kB
Active(file):   49853348 kB
Inactive(file):  6889400 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:              6596 kB
Writeback:             0 kB
AnonPages:       1369400 kB
Mapped:           370828 kB
Shmem:              6204 kB
KReclaimable:     583000 kB
Slab:            1096676 kB
SReclaimable:     583000 kB
SUnreclaim:       513676 kB
KernelStack:       33568 kB
PageTables:        44288 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100408 kB
Committed_AS:    7407376 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      198788 kB
VmallocChunk:          0 kB
Percpu:           163520 kB
HardwareCorrupted:     0 kB
AnonHugePages:    403456 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      703976 kB
DirectMap2M:     8169472 kB
DirectMap1G:    1180696576 kB
