pgmigrate_success 320497350
pgmigrate_fail 149417
thp_migration_success 119567
thp_migration_fail 116
thp_migration_split 0
thp_fault_alloc 1265153
thp_fault_fallback 13462
thp_fault_fallback_charge 0
thp_collapse_alloc 505
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 7377
thp_split_pmd 17940
thp_split_pud 0
thp_zero_page_alloc 18
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 143304441
htmm_nr_demoted 175691814
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 462637579
htmm_alloc_nvm 253471568
MemTotal:       1184200816 kB
MemFree:        1106803716 kB
MemAvailable:   1159690992 kB
Buffers:          410024 kB
Cached:         56284696 kB
SwapCached:            0 kB
Active:         49791148 kB
Inactive:       13301064 kB
Active(anon):          0 kB
Inactive(anon):  6403692 kB
Active(file):   49791148 kB
Inactive(file):  6897372 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               156 kB
Writeback:             0 kB
AnonPages:       1285984 kB
Mapped:           335948 kB
Shmem:              6204 kB
KReclaimable:     582664 kB
Slab:            1092984 kB
SReclaimable:     582664 kB
SUnreclaim:       510320 kB
KernelStack:       33264 kB
PageTables:        43776 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100408 kB
Committed_AS:    7235020 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      198404 kB
VmallocChunk:          0 kB
Percpu:           163520 kB
HardwareCorrupted:     0 kB
AnonHugePages:    380928 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      703976 kB
DirectMap2M:     8169472 kB
DirectMap1G:    1180696576 kB
