pgmigrate_success 63804270
pgmigrate_fail 8399
thp_migration_success 11354
thp_migration_fail 133
thp_migration_split 0
thp_fault_alloc 69453
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 128
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 3632
thp_split_pmd 4589
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 29264392
htmm_nr_demoted 34537613
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 14602521
htmm_alloc_nvm 33129300
MemTotal:       1184200812 kB
MemFree:        1148264960 kB
MemAvailable:   1161001516 kB
Buffers:          254252 kB
Cached:         16335016 kB
SwapCached:            0 kB
Active:          2841220 kB
Inactive:       15727656 kB
Active(anon):          0 kB
Inactive(anon):  1985740 kB
Active(file):    2841220 kB
Inactive(file): 13741916 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                36 kB
Writeback:             0 kB
AnonPages:        785252 kB
Mapped:           447832 kB
Shmem:              6200 kB
KReclaimable:     491988 kB
Slab:             914772 kB
SReclaimable:     491988 kB
SUnreclaim:       422784 kB
KernelStack:       32288 kB
PageTables:        32292 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    6739236 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196616 kB
VmallocChunk:          0 kB
Percpu:           129024 kB
HardwareCorrupted:     0 kB
AnonHugePages:    167936 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      632296 kB
DirectMap2M:     8241152 kB
DirectMap1G:    1180696576 kB
