pgmigrate_success 309313846
pgmigrate_fail 52123
thp_migration_success 99759
thp_migration_fail 43
thp_migration_split 0
thp_fault_alloc 1162093
thp_fault_fallback 4347
thp_fault_fallback_charge 0
thp_collapse_alloc 402
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 5047
thp_split_pmd 14517
thp_split_pud 0
thp_zero_page_alloc 18
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 139306085
htmm_nr_demoted 169519608
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 414782717
htmm_alloc_nvm 237529070
MemTotal:       1184200816 kB
MemFree:        1100676860 kB
MemAvailable:   1159724192 kB
Buffers:          697948 kB
Cached:         62185432 kB
SwapCached:            0 kB
Active:         48187444 kB
Inactive:       21147168 kB
Active(anon):          0 kB
Inactive(anon):  6457448 kB
Active(file):   48187444 kB
Inactive(file): 14689720 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 8 kB
Writeback:             0 kB
AnonPages:       1332392 kB
Mapped:           358948 kB
Shmem:              6204 kB
KReclaimable:     525488 kB
Slab:            1016880 kB
SReclaimable:     525488 kB
SUnreclaim:       491392 kB
KernelStack:       33536 kB
PageTables:        42908 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100408 kB
Committed_AS:    7343628 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      198572 kB
VmallocChunk:          0 kB
Percpu:           156800 kB
HardwareCorrupted:     0 kB
AnonHugePages:    366592 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      703976 kB
DirectMap2M:     8169472 kB
DirectMap1G:    1180696576 kB
