pgmigrate_success 315966317
pgmigrate_fail 52162
thp_migration_success 112725
thp_migration_fail 82
thp_migration_split 0
thp_fault_alloc 1187000
thp_fault_fallback 4347
thp_fault_fallback_charge 0
thp_collapse_alloc 439
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 5573
thp_split_pmd 15420
thp_split_pud 0
thp_zero_page_alloc 18
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 142207380
htmm_nr_demoted 173270751
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 424861288
htmm_alloc_nvm 241868418
MemTotal:       1184200816 kB
MemFree:        1098296864 kB
MemAvailable:   1159669504 kB
Buffers:          706780 kB
Cached:         64474768 kB
SwapCached:            0 kB
Active:         59869836 kB
Inactive:       11780344 kB
Active(anon):          0 kB
Inactive(anon):  6474832 kB
Active(file):   59869836 kB
Inactive(file):  5305512 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                52 kB
Writeback:             0 kB
AnonPages:       1345324 kB
Mapped:           373308 kB
Shmem:              6204 kB
KReclaimable:     579732 kB
Slab:            1086436 kB
SReclaimable:     579732 kB
SUnreclaim:       506704 kB
KernelStack:       33392 kB
PageTables:        44120 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100408 kB
Committed_AS:    7350196 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      198492 kB
VmallocChunk:          0 kB
Percpu:           159488 kB
HardwareCorrupted:     0 kB
AnonHugePages:    366592 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      703976 kB
DirectMap2M:     8169472 kB
DirectMap1G:    1180696576 kB
