pgmigrate_success 315441769
pgmigrate_fail 52158
thp_migration_success 111705
thp_migration_fail 78
thp_migration_split 0
thp_fault_alloc 1174485
thp_fault_fallback 4347
thp_fault_fallback_charge 0
thp_collapse_alloc 422
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 5281
thp_split_pmd 14988
thp_split_pud 0
thp_zero_page_alloc 18
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 142207379
htmm_nr_demoted 172746237
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 419359243
htmm_alloc_nvm 239941807
MemTotal:       1184200816 kB
MemFree:        1100214332 kB
MemAvailable:   1159498240 kB
Buffers:          700540 kB
Cached:         62411808 kB
SwapCached:            0 kB
Active:         59052552 kB
Inactive:       10574236 kB
Active(anon):          0 kB
Inactive(anon):  6521192 kB
Active(file):   59052552 kB
Inactive(file):  4053044 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:             11880 kB
Writeback:             8 kB
AnonPages:       1397344 kB
Mapped:           419704 kB
Shmem:              6204 kB
KReclaimable:     541776 kB
Slab:            1040532 kB
SReclaimable:     541776 kB
SUnreclaim:       498756 kB
KernelStack:       42496 kB
PageTables:        45808 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100408 kB
Committed_AS:   12003304 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      207652 kB
VmallocChunk:          0 kB
Percpu:           158144 kB
HardwareCorrupted:     0 kB
AnonHugePages:    421888 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      703976 kB
DirectMap2M:     8169472 kB
DirectMap1G:    1180696576 kB
