pgmigrate_success 5823496
pgmigrate_fail 10753
thp_migration_success 1645
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 140060
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 47
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 306
thp_split_pmd 499
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 204806
htmm_nr_demoted 5616507
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 30658515
htmm_alloc_nvm 43097939
MemTotal:       1184200816 kB
MemFree:        1099627028 kB
MemAvailable:   1160819676 kB
Buffers:          228664 kB
Cached:         64755928 kB
SwapCached:            0 kB
Active:         28336008 kB
Inactive:       37406680 kB
Active(anon):       3412 kB
Inactive(anon):   760980 kB
Active(file):   28332596 kB
Inactive(file): 36645700 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:             11812 kB
Writeback:             0 kB
AnonPages:        747888 kB
Mapped:           515652 kB
Shmem:              6200 kB
KReclaimable:     613856 kB
Slab:            1050628 kB
SReclaimable:     613856 kB
SUnreclaim:       436772 kB
KernelStack:       32480 kB
PageTables:        33160 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100408 kB
Committed_AS:    6785016 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      197088 kB
VmallocChunk:          0 kB
Percpu:           128576 kB
HardwareCorrupted:     0 kB
AnonHugePages:     86016 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      646632 kB
DirectMap2M:     8226816 kB
DirectMap1G:    1180696576 kB
