pgmigrate_success 172536386
pgmigrate_fail 129980
thp_migration_success 323431
thp_migration_fail 411
thp_migration_split 0
thp_fault_alloc 468979
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 222
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 2329
thp_split_pmd 6435
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 73513865
htmm_nr_demoted 98510689
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 153274912
htmm_alloc_nvm 103325716
MemTotal:       1184200816 kB
MemFree:        1085169976 kB
MemAvailable:   1160634524 kB
Buffers:          810204 kB
Cached:         78224316 kB
SwapCached:            0 kB
Active:         46912092 kB
Inactive:       32873188 kB
Active(anon):       2892 kB
Inactive(anon):   754056 kB
Active(file):   46909200 kB
Inactive(file): 32119132 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                76 kB
Writeback:             0 kB
AnonPages:        748440 kB
Mapped:           446824 kB
Shmem:              6200 kB
KReclaimable:    1057584 kB
Slab:            1537168 kB
SReclaimable:    1057584 kB
SUnreclaim:       479584 kB
KernelStack:       32320 kB
PageTables:        32968 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100408 kB
Committed_AS:    6649472 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      197236 kB
VmallocChunk:          0 kB
Percpu:           143360 kB
HardwareCorrupted:     0 kB
AnonHugePages:    194560 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      646632 kB
DirectMap2M:     8226816 kB
DirectMap1G:    1180696576 kB
