pgmigrate_success 173731116
pgmigrate_fail 132416
thp_migration_success 324254
thp_migration_fail 412
thp_migration_split 0
thp_fault_alloc 520041
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 234
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 2418
thp_split_pmd 6737
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 73651089
htmm_nr_demoted 99568195
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 165758841
htmm_alloc_nvm 118682134
MemTotal:       1184200816 kB
MemFree:        1078841332 kB
MemAvailable:   1160492484 kB
Buffers:          811008 kB
Cached:         84405244 kB
SwapCached:            0 kB
Active:         75851172 kB
Inactive:       10182608 kB
Active(anon):       2964 kB
Inactive(anon):   820756 kB
Active(file):   75848208 kB
Inactive(file):  9361852 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                36 kB
Writeback:            20 kB
AnonPages:        813552 kB
Mapped:           512004 kB
Shmem:              6200 kB
KReclaimable:    1067336 kB
Slab:            1547388 kB
SReclaimable:    1067336 kB
SUnreclaim:       480052 kB
KernelStack:       32640 kB
PageTables:        33408 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100408 kB
Committed_AS:    6789944 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      197684 kB
VmallocChunk:          0 kB
Percpu:           144704 kB
HardwareCorrupted:     0 kB
AnonHugePages:    196608 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      646632 kB
DirectMap2M:     8226816 kB
DirectMap1G:    1180696576 kB
