pgmigrate_success 6691211
pgmigrate_fail 10681
thp_migration_success 3750
thp_migration_fail 1
thp_migration_split 0
thp_fault_alloc 250209
thp_fault_fallback 16752
thp_fault_fallback_charge 0
thp_collapse_alloc 172
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 863
thp_split_pmd 2096
thp_split_pud 0
thp_zero_page_alloc 18
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 1674441
htmm_nr_demoted 2180367
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 104922479
htmm_alloc_nvm 36699022
MemTotal:       1184200812 kB
MemFree:        1114312952 kB
MemAvailable:   1160784120 kB
Buffers:          188780 kB
Cached:         50126864 kB
SwapCached:            0 kB
Active:         45692348 kB
Inactive:        5356476 kB
Active(anon):       3196 kB
Inactive(anon):   736092 kB
Active(file):   45689152 kB
Inactive(file):  4620384 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:              4692 kB
Writeback:             0 kB
AnonPages:        726180 kB
Mapped:           353000 kB
Shmem:              6156 kB
KReclaimable:     508416 kB
Slab:             925428 kB
SReclaimable:     508416 kB
SUnreclaim:       417012 kB
KernelStack:       33264 kB
PageTables:        34008 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    9192956 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      197832 kB
VmallocChunk:          0 kB
Percpu:           133504 kB
HardwareCorrupted:     0 kB
AnonHugePages:     94208 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      572904 kB
DirectMap2M:     9349120 kB
DirectMap1G:    1179648000 kB
