pgmigrate_success 6440640
pgmigrate_fail 10560
thp_migration_success 3750
thp_migration_fail 1
thp_migration_split 0
thp_fault_alloc 233366
thp_fault_fallback 16752
thp_fault_fallback_charge 0
thp_collapse_alloc 172
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 856
thp_split_pmd 2073
thp_split_pud 0
thp_zero_page_alloc 18
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 1674441
htmm_nr_demoted 2180367
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 98349619
htmm_alloc_nvm 34191578
MemTotal:       1184200812 kB
MemFree:        1114359120 kB
MemAvailable:   1160829336 kB
Buffers:          188732 kB
Cached:         50125968 kB
SwapCached:            0 kB
Active:         38905544 kB
Inactive:       12107688 kB
Active(anon):       2916 kB
Inactive(anon):   701700 kB
Active(file):   38902628 kB
Inactive(file): 11405988 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                68 kB
Writeback:             0 kB
AnonPages:        692536 kB
Mapped:           334844 kB
Shmem:              6156 kB
KReclaimable:     508352 kB
Slab:             923664 kB
SReclaimable:     508352 kB
SUnreclaim:       415312 kB
KernelStack:       32272 kB
PageTables:        34152 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    6577912 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196808 kB
VmallocChunk:          0 kB
Percpu:           133504 kB
HardwareCorrupted:     0 kB
AnonHugePages:     96256 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      572904 kB
DirectMap2M:     9349120 kB
DirectMap1G:    1179648000 kB
