pgmigrate_success 332
pgmigrate_fail 0
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 0
htmm_nr_demoted 0
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 2416985
htmm_alloc_nvm 0
MemTotal:       1184200784 kB
MemFree:        1163698268 kB
MemAvailable:   1161826440 kB
Buffers:          201112 kB
Cached:          1189204 kB
SwapCached:            0 kB
Active:           451452 kB
Inactive:        1537708 kB
Active(anon):       2876 kB
Inactive(anon):   602060 kB
Active(file):     448576 kB
Inactive(file):   935648 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 4 kB
Writeback:             0 kB
AnonPages:        599068 kB
Mapped:           413412 kB
Shmem:              6104 kB
KReclaimable:     413920 kB
Slab:             805340 kB
SReclaimable:     413920 kB
SUnreclaim:       391420 kB
KernelStack:       33936 kB
PageTables:        33052 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100392 kB
Committed_AS:    6420960 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      198252 kB
VmallocChunk:          0 kB
Percpu:           120960 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      613864 kB
DirectMap2M:     7211008 kB
DirectMap1G:    1181745152 kB
