pgmigrate_success 75588094
pgmigrate_fail 11963
thp_migration_success 145988
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 71971
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 109
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 332
thp_split_pmd 676
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 35436060
htmm_nr_demoted 40111249
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 17297457
htmm_alloc_nvm 24550791
MemTotal:       1184200812 kB
MemFree:        1136753108 kB
MemAvailable:   1157648804 kB
Buffers:          189124 kB
Cached:         24550092 kB
SwapCached:            0 kB
Active:         22510204 kB
Inactive:        6441096 kB
Active(anon):        912 kB
Inactive(anon):  4217348 kB
Active(file):   22509292 kB
Inactive(file):  2223748 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                12 kB
Writeback:             0 kB
AnonPages:       4198732 kB
Mapped:           399332 kB
Shmem:              6196 kB
KReclaimable:     510708 kB
Slab:             925044 kB
SReclaimable:     510708 kB
SUnreclaim:       414336 kB
KernelStack:       32496 kB
PageTables:        41116 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    7729780 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      197220 kB
VmallocChunk:          0 kB
Percpu:           124992 kB
HardwareCorrupted:     0 kB
AnonHugePages:    190464 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      620008 kB
DirectMap2M:     8253440 kB
DirectMap1G:    1180696576 kB
