pgmigrate_success 196261296
pgmigrate_fail 0
thp_migration_success 372439
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 179350
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 263
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 449
thp_split_pmd 788
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 96650502
htmm_nr_demoted 99588904
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 42390522
htmm_alloc_nvm 55651807
MemTotal:       1184200808 kB
MemFree:        1136611880 kB
MemAvailable:   1157650472 kB
Buffers:          230328 kB
Cached:         24648752 kB
SwapCached:            0 kB
Active:         22546336 kB
Inactive:        6471868 kB
Active(anon):       3088 kB
Inactive(anon):  4142232 kB
Active(file):   22543248 kB
Inactive(file):  2329636 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               480 kB
Writeback:             0 kB
AnonPages:       4131888 kB
Mapped:           437292 kB
Shmem:              6196 kB
KReclaimable:     516812 kB
Slab:             931704 kB
SReclaimable:     516812 kB
SUnreclaim:       414892 kB
KernelStack:       32816 kB
PageTables:        41276 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    9962672 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      197548 kB
VmallocChunk:          0 kB
Percpu:           130368 kB
HardwareCorrupted:     0 kB
AnonHugePages:    188416 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      601576 kB
DirectMap2M:     8271872 kB
DirectMap1G:    1180696576 kB
