pgmigrate_success 1930872
pgmigrate_fail 0
thp_migration_success 634
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 35823
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 40
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 17
thp_split_pmd 18
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 324850
htmm_nr_demoted 1605644
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 3288496
htmm_alloc_nvm 15746995
MemTotal:       1184200784 kB
MemFree:        1142701996 kB
MemAvailable:   1161334284 kB
Buffers:           64348 kB
Cached:         22537332 kB
SwapCached:            0 kB
Active:         22106700 kB
Inactive:        1199220 kB
Active(anon):        592 kB
Inactive(anon):   709784 kB
Active(file):   22106108 kB
Inactive(file):   489436 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               320 kB
Writeback:           184 kB
AnonPages:        701808 kB
Mapped:           370560 kB
Shmem:              6108 kB
KReclaimable:     258884 kB
Slab:             657276 kB
SReclaimable:     258884 kB
SUnreclaim:       398392 kB
KernelStack:       31808 kB
PageTables:        33444 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100392 kB
Committed_AS:    8586464 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196116 kB
VmallocChunk:          0 kB
Percpu:           121408 kB
HardwareCorrupted:     0 kB
AnonHugePages:     73728 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      613864 kB
DirectMap2M:     7211008 kB
DirectMap1G:    1181745152 kB
