pgmigrate_success 335771
pgmigrate_fail 0
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 1
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 1228
htmm_nr_demoted 262192
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 8476792
htmm_alloc_nvm 4195417
MemTotal:       1184200780 kB
MemFree:        1162434308 kB
MemAvailable:   1161242752 kB
Buffers:          215708 kB
Cached:          2451268 kB
SwapCached:            0 kB
Active:           544236 kB
Inactive:        2826456 kB
Active(anon):       2908 kB
Inactive(anon):   706928 kB
Active(file):     541328 kB
Inactive(file):  2119528 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               340 kB
Writeback:             0 kB
AnonPages:        703648 kB
Mapped:           407496 kB
Shmem:              6116 kB
KReclaimable:     480324 kB
Slab:             882296 kB
SReclaimable:     480324 kB
SUnreclaim:       401972 kB
KernelStack:       31680 kB
PageTables:        34540 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100388 kB
Committed_AS:    6527372 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196228 kB
VmallocChunk:          0 kB
Percpu:           121408 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      671208 kB
DirectMap2M:     8202240 kB
DirectMap1G:    1180696576 kB
