pgmigrate_success 12914067
pgmigrate_fail 10264
thp_migration_success 16582
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 95095
thp_fault_fallback 3725
thp_fault_fallback_charge 0
thp_collapse_alloc 643
thp_collapse_alloc_failed 12
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 975
thp_split_pmd 988
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 4485715
htmm_nr_demoted 6821747
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 61693187
htmm_alloc_nvm 44638096
MemTotal:       1184200780 kB
MemFree:        1148143808 kB
MemAvailable:   1146320260 kB
Buffers:          118336 kB
Cached:          1464472 kB
SwapCached:            0 kB
Active:           412940 kB
Inactive:       17324008 kB
Active(anon):       3028 kB
Inactive(anon): 16157276 kB
Active(file):     409912 kB
Inactive(file):  1166732 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               508 kB
Writeback:             0 kB
AnonPages:      16152456 kB
Mapped:           361220 kB
Shmem:              6116 kB
KReclaimable:     318056 kB
Slab:             754908 kB
SReclaimable:     318056 kB
SUnreclaim:       436852 kB
KernelStack:       32848 kB
PageTables:        67900 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100388 kB
Committed_AS:    9995652 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      197284 kB
VmallocChunk:          0 kB
Percpu:           126784 kB
HardwareCorrupted:     0 kB
AnonHugePages:   7200768 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      671208 kB
DirectMap2M:     8202240 kB
DirectMap1G:    1180696576 kB
