pgmigrate_success 318527950
pgmigrate_fail 52179
thp_migration_success 117717
thp_migration_fail 99
thp_migration_split 0
thp_fault_alloc 1218386
thp_fault_fallback 4347
thp_fault_fallback_charge 0
thp_collapse_alloc 471
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 5892
thp_split_pmd 15999
thp_split_pud 0
thp_zero_page_alloc 18
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 143053884
htmm_nr_demoted 174985880
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 438094671
htmm_alloc_nvm 245828728
MemTotal:       1184200816 kB
MemFree:        1098298432 kB
MemAvailable:   1159665944 kB
Buffers:          710668 kB
Cached:         64465500 kB
SwapCached:            0 kB
Active:         59938384 kB
Inactive:       11636040 kB
Active(anon):          0 kB
Inactive(anon):  6404464 kB
Active(file):   59938384 kB
Inactive(file):  5231576 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                12 kB
Writeback:             0 kB
AnonPages:       1277948 kB
Mapped:           318816 kB
Shmem:              6204 kB
KReclaimable:     580252 kB
Slab:            1089812 kB
SReclaimable:     580252 kB
SUnreclaim:       509560 kB
KernelStack:       32976 kB
PageTables:        41860 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100408 kB
Committed_AS:    7209432 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      198404 kB
VmallocChunk:          0 kB
Percpu:           160832 kB
HardwareCorrupted:     0 kB
AnonHugePages:    356352 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      703976 kB
DirectMap2M:     8169472 kB
DirectMap1G:    1180696576 kB
