pgmigrate_success 492770
pgmigrate_fail 0
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 0
htmm_nr_demoted 0
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 13572210
htmm_alloc_nvm 8389599
MemTotal:       1184200784 kB
MemFree:        1164207416 kB
MemAvailable:   1161844876 kB
Buffers:            6276 kB
Cached:           446952 kB
SwapCached:            0 kB
Active:           132328 kB
Inactive:        1569168 kB
Active(anon):        500 kB
Inactive(anon):  1245348 kB
Active(file):     131828 kB
Inactive(file):   323820 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:              4016 kB
Writeback:             0 kB
AnonPages:       1248268 kB
Mapped:           438044 kB
Shmem:              6164 kB
KReclaimable:     361068 kB
Slab:             783860 kB
SReclaimable:     361068 kB
SUnreclaim:       422792 kB
KernelStack:       33584 kB
PageTables:        42784 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100392 kB
Committed_AS:    7178196 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      198284 kB
VmallocChunk:          0 kB
Percpu:           122752 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      656872 kB
DirectMap2M:     8216576 kB
DirectMap1G:    1180696576 kB
