pgmigrate_success 8405623
pgmigrate_fail 1671
thp_migration_success 9994
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 132514
thp_fault_fallback 6076
thp_fault_fallback_charge 0
thp_collapse_alloc 179
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 1582
thp_split_pmd 2446
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 3383828
htmm_nr_demoted 4400849
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 31327890
htmm_alloc_nvm 43661088
MemTotal:       1184200812 kB
MemFree:        1149870076 kB
MemAvailable:   1160440092 kB
Buffers:          226948 kB
Cached:         14168796 kB
SwapCached:            0 kB
Active:         11008508 kB
Inactive:        4633332 kB
Active(anon):       3032 kB
Inactive(anon):  1249228 kB
Active(file):   11005476 kB
Inactive(file):  3384104 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               680 kB
Writeback:             0 kB
AnonPages:       1232472 kB
Mapped:           461428 kB
Shmem:              6200 kB
KReclaimable:     546020 kB
Slab:             970804 kB
SReclaimable:     546020 kB
SUnreclaim:       424784 kB
KernelStack:       32464 kB
PageTables:        44284 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    6850248 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196976 kB
VmallocChunk:          0 kB
Percpu:           128576 kB
HardwareCorrupted:     0 kB
AnonHugePages:    231424 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      544232 kB
DirectMap2M:     8329216 kB
DirectMap1G:    1180696576 kB
