pgmigrate_success 8445
pgmigrate_fail 1
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 19918
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 94
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 1225
thp_split_pmd 1225
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 0
htmm_nr_demoted 3570
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 10311872
htmm_alloc_nvm 1655260
MemTotal:       1184200808 kB
MemFree:        1163569840 kB
MemAvailable:   1161632988 kB
Buffers:          178776 kB
Cached:          1110980 kB
SwapCached:            0 kB
Active:           434780 kB
Inactive:        4093576 kB
Active(anon):          0 kB
Inactive(anon):  3244680 kB
Active(file):     434780 kB
Inactive(file):   848896 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                68 kB
Writeback:             0 kB
AnonPages:        771224 kB
Mapped:           378388 kB
Shmem:              6132 kB
KReclaimable:     384660 kB
Slab:             803704 kB
SReclaimable:     384660 kB
SUnreclaim:       419044 kB
KernelStack:       31520 kB
PageTables:        32600 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100404 kB
Committed_AS:    6597224 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      195848 kB
VmallocChunk:          0 kB
Percpu:           126784 kB
HardwareCorrupted:     0 kB
AnonHugePages:    192512 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      542184 kB
DirectMap2M:     8331264 kB
DirectMap1G:    1180696576 kB
